%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2, 15.174839973449707 0.2207985520362854 63.28396987915039 -9.78885555267334 112.16390228271484 5.337284088134766 132.29322814941406 48.03699493408203
3, 13.688469886779785 7.137644290924072 53.856876373291016 2.2174060344696045 104.64662170410156 -23.71129035949707 160.20372009277344 -30.294681549072266
4, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5, 11.758284568786621 14.855691909790039 42.740604400634766 23.359119415283203 85.43817901611328 10.192201614379883 137.94070434570312 -9.355259895324707
6, 10.0 21.286165237426758 25.90923309326172 49.4534912109375 38.58378219604492 81.72211456298828 40.53093719482422 121.84661102294922
7, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8, 8.221052169799805 28.831012725830078 7.788139343261719 78.33474731445312 10.054581642150879 133.44680786132812 -35.77101135253906 181.0533905029297
9, 6.447132110595703 34.37662887573242 -0.01998366042971611 95.83367919921875 -6.094179153442383 150.0851287841797 -18.099233627319336 134.417724609375
10, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11, 4.593216419219971 39.65798568725586 -15.674020767211914 97.15238952636719 -26.900903701782227 104.41011047363281 55.54853439331055 59.382755279541016
12, 3.221284866333008 45.4491081237793 -18.544279098510742 79.67916107177734 20.967487335205078 50.57228088378906 144.10302734375 -54.84901428222656
13, 1.9056273698806763 44.695831298828125 -8.756053924560547 68.23686981201172 62.08259963989258 -21.20818328857422 162.8701934814453 20.66015625
14, 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
